country,code,tfr_early,ctfr_early,te_early,tfr_recent,ctfr_recent,te_recent,delta_tfr,delta_ctfr,timing_contrib,cbpi,region
Congo,COG,5.3022025,5.113677420703589,0.1885250792964106,4.067685,4.099954312934673,-0.03226931293467317,1.2345175,1.0137231077689162,0.22079439223108377,0.17885075928942584,Other
Cook Islands,COK,4.4771175,4.4792593047604825,-0.0021418047604830903,2.77789,2.764444910434052,0.01344508956594792,1.6992275000000001,1.7148143943264307,-0.015586894326431011,-0.009172929655641173,East Asia & Pacific
Costa Rica,CRI,3.3216200000000002,3.4688854551314483,-0.1472654551314485,1.90022,1.985553424083137,-0.08533342408313715,1.4214000000000002,1.4833320310483114,-0.06193203104831135,-0.04357114890130248,Latin America
Cote d'Ivoire,CIV,6.4908775,6.328694874035237,0.16218262596476318,4.850312499999999,4.889430919769062,-0.0391184197690615,1.6405650000000005,1.439263954266175,0.20130104573382468,0.12270226765402445,Sub-Saharan Africa
Croatia,HRV,1.7338174999999998,1.6829902020320615,0.0508272979679385,1.3737949999999999,1.61218008861293,-0.23838508861293006,0.3600224999999999,0.07081011341913146,0.28921238658086856,0.8033175331565906,Europe
Cuba,CUB,2.0220225000000003,1.942611085784961,0.07941141421503917,1.3602175,1.3655076897260678,-0.005290189726067984,0.6618050000000002,0.5771033960588932,0.08470160394110715,0.12798574193471962,Latin America
Curacao,CUW,2.3456725,2.558918584551343,-0.2132460845513433,1.983165,1.9743405187698273,0.008824481230172876,0.3625075,0.5845780657815158,-0.22207056578151618,-0.6125957829328116,Latin America
Cyprus,CYP,2.1253825,2.3263573802174857,-0.20097488021748589,1.58644,1.9106867284374829,-0.32424672843748303,0.5389425000000001,0.41567065178000284,0.12327184821999715,0.22872912828362418,Other
Czechia,CZE,2.0508075000000003,1.8543164636751568,0.19649103632484333,1.1042524999999999,1.6106408868978892,-0.5063883868978892,0.9465550000000005,0.2436755767772676,0.7028794232227326,0.7425658553625856,Europe
Democratic Republic of Congo,COD,5.49085,5.643602311195222,-0.15275231119522203,5.78882,5.722414498870606,0.06640550112939447,-0.2979700000000003,-0.07881218767538378,-0.2191578123246165,,Other
Denmark,DNK,1.6815950000000002,1.7702271222157284,-0.08863212221572836,1.7110975000000002,1.8762416729687288,-0.16514417296872863,-0.029502499999999987,-0.10601455075300037,0.07651205075300027,,Europe
